RECORD_ID,RECORD_DATETIME,RECORD_URL,RECORD_TITLE,RECORD_TEXT,DOMAIN_ROOT_URL,CITY_NAME,STATE_CODE,COUNTRY_CODE,GPS_COORDINATES,AUTHOR_ID,AUTHOR_HANDLE,AUTHOR_NAME,AUTHOR_GENDER,AUTHOR_DESCRIPTION,_AUTHOR_PROFILE_URL,AUTHOR_AVATAR_URL,AUTHOR_FOLLOWERS,AUTHOR_VERIFIED_STATUS,META_TAGS,META_TAGS2,NET_PROMOTER_SCORE,OVERALL_STAR_RATING,OVERALL_SURVEY_SCORE,SOURCE_TYPE
"page1","","https://www.amazon.com/Echo-Dot/dp/B07FZ8S74R/","Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal","","","","","","","","","","","","","","","","B07FZ8S74R","AmazonReview","","","",""
"page1-review0","January 8, 2020","https://www.amazon.com/gp/customer-reviews/R3QZMNWJNJ26RF/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&amp;ASIN=B07FZ8S74R","Love my echo dot! So helpful and the GGMM D3battery base makes it portable!","  I've been a happy owner of a 2nd generation Echo and three 2nd generation Echo Dots for a year now, and I was glad to add this to the arsenal.  After using it for a few days I am generally pleased with it, but it does have limitations, especially when it comes to sound quality (no surprise there!).  I will start by summarizing what's new about the 3rd Generation Dot, then I'll describe the device in more detail, and finally I'll add some thoughts about how to choose which Echo device may be best for you.<br /><br />The most obvious update to the Dot is the new look: it's as if someone took a 2nd generation Dot, inflated it with an air pump, and wrapped the edge in fabric.  And it's not bad!<br /><br />What's different/updated in the 3rd Generation Dot:<br />1) It is slightly larger than the 2nd generation device, measuring 3.9&#34; wide x 1.7&#34; tall (2nd gen was 3.3&#34; wide x 1.3&#34; tall), and the top and bottom edges are more rounded.  It is also substantially heavier at near","","","","","","","","JJ","","","","","","","B07FZ8S74R","AmazonReview","","","",""
"page1-review1","October 15, 2018","https://www.amazon.com/gp/customer-reviews/R3MKDD2SPE6GUP/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&amp;ASIN=B07FZ8S74R","Love the Dot and its new look, but the sound is still disappointing","  I've been a happy owner of a 2nd generation Echo and three 2nd generation Echo Dots for a year now, and I was glad to add this to the arsenal.  After using it for a few days I am generally pleased with it, but it does have limitations, especially when it comes to sound quality (no surprise there!).  I will start by summarizing what's new about the 3rd Generation Dot, then I'll describe the device in more detail, and finally I'll add some thoughts about how to choose which Echo device may be best for you.<br /><br />The most obvious update to the Dot is the new look: it's as if someone took a 2nd generation Dot, inflated it with an air pump, and wrapped the edge in fabric.  And it's not bad!<br /><br />What's different/updated in the 3rd Generation Dot:<br />1) It is slightly larger than the 2nd generation device, measuring 3.9&#34; wide x 1.7&#34; tall (2nd gen was 3.3&#34; wide x 1.3&#34; tall), and the top and bottom edges are more rounded.  It is also substantially heavier at near","","","","","","","","Frederick","","","","","","","B07FZ8S74R","AmazonReview","","","",""
"page1-review2","October 15, 2018","https://www.amazon.com/gp/customer-reviews/R320HT3E83VQNV/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&amp;ASIN=B07FZ8S74R","Overall improvement, but lost its flexibility","  I have 5 Echo Dots (gen 2) and we use them throughout the house for just about everything, being we have a fairly smart home. What I liked about the gen 2 versions, were that they were compact and very flexible on how you could use them. They were easy to mount in different positions and being that they used a fairly standard USB interface for the power, you could really be flexible on how and where you mounted them. The one thing that they really missed on? The well known sound quality.<br /><br />Enter the Gen 3...<br />I really like the improvement in sound. Sure it is not a high quality speaker system, but for the size it is pretty good. Especially when you consider that you can pair them and add a sub for pretty good sound. The look is improved over the gen 2, however it does lose a little bit of the customability that the gen 2 had. With the gen 2, you could purchase different wraps, stands, clock mounts, wall mounts, etc. You could really customize it. The gen 3 is a bit bigge","","","","","","","","Clintre","","","","","","","B07FZ8S74R","AmazonReview","","","",""
"page3","","https://www.amazon.com/dp/B07G267D8S","2-Year Accident Protection for Echo Dot (2018 release)","","","","","","","","","","","","","","","","B07G267D8S","AmazonReview","","","",""
"page3-review0","April 13, 2019","https://www.amazon.com/gp/customer-reviews/R3DWTWK6U81JKL/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&amp;ASIN=B07G267D8S","Total scam. basically the make you wait so long that you give up","  I spent an hour on the phone trying to redeem the warranty. after more than an hour i was getting upset and told them i had been on for an hour for an issue that they readily admitted was covered but kept getting switched around and getting a run around over nothing. literally nothing, the whole time on the phone the guy kept saying the words ""I cant"" over and over for no reason and when i finally said I've been on the phone for an hour, whats the hold up, i was told sternly that i had only been on for three mins. then i was put on hold again for another 20 mins. I deal with warranty companies every day for work and this is by far the worst to deal with. find someone else and save yourself a lot of time and aggravation","","","","","","","","Paul X. Boudreau","","","","","","","B07G267D8S","AmazonReview","","","",""
"page3-review1","July 1, 2019","https://www.amazon.com/gp/customer-reviews/R30DI2FY659NLU/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&amp;ASIN=B07G267D8S","The NSA is gone learn a thing or two","  I use it in the classroom to translate things for my ESL kids. And I don’t mind if the government listens into the classroom. The worst they’ll hear is how to write a damn good essay which the Cheeto in charge could use.","","","","","","","","Lindsey Lou","","","","","","","B07G267D8S","AmazonReview","","","",""
"page3-review2","November 28, 2018","https://www.amazon.com/gp/customer-reviews/R5QIAIOARQIDG/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&amp;ASIN=B07G267D8S","Warranty must needed","  Warranty is always key","","","","","","","","Jumilka","","","","","","","B07G267D8S","AmazonReview","","","",""
"page3-review3","February 14, 2020","https://www.amazon.com/gp/customer-reviews/R3V0EP7PJO8IO4/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&amp;ASIN=B07G267D8S","I am very excited","  I bought this for myself for Christmas.  I still cant get it to hook up to my wifi.<br />I'm not unsatisfied with it because I have yet to understand what I'm doing wrong.  I will say this though... it's cute. It is loud when I have heard Alexa speak. I bet it's awesome.  I will get some one at Amazon to help me. The app isnt explanatory enough. The product itself is pretty cool. It is much more compact than I expected and I bought the wall attachment to get it up out of the way of possible spills and now I want to buy the portable battery pack. I will update my review very soon. .","","","","","","","","kari","","","","","","","B07G267D8S","AmazonReview","","","",""
"page3-review4","June 29, 2019","https://www.amazon.com/gp/customer-reviews/R2TCSJ5BL74RCH/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&amp;ASIN=B07G267D8S","Insurance for our two new Echo Dots","  Well, it sounds like it is a good thing to have insurance and the other reviews seemed good for any problems that occurred for those folks. The only thing I can say is that so far we haven't had to use it but we haven't had the Dots but two weeks, I guess. I do know the company sent message that they are totally digital and send no contract on paper  through the mail, they told me to make a copy or guess file in file from computer,  which is fine. I hope we won't ever have to use the insurance, but ,if so, then atleast we have it. I didn't do five stars because we haven't needed them so can't tell how helpful they will be.","","","","","","","","Amazon Customer","","","","","","","B07G267D8S","AmazonReview","","","",""
